Variable;begin;end;…;VARNAME;NUMBER;:=;if;then;else;while;do;print;read;+;-;*;/;(;);and;or;{;};=;<
Program;1;;;;;;;;;;;;;;;;;;;;;;;;
Code;2;3;;2;;;2;;;2;;2;2;;;;;;;;;;;;
InstList;4;;;4;;;4;;;4;;4;4;;;;;;;;;;;;
Instruction_end;;5;6;;;;;;5;;;;;;;;;;;;;;;;
Instruction;12;;;7;;;8;;;9;;10;11;;;;;;;;;;;;
Assign;;;;13;;;;;;;;;;;;;;;;;;;;;
ExprArith;;;;14;14;;;;;;;;;;14;;;14;;;;;;;
ExprArith';;16;16;;;;;16;;;;;;15;15;16;16;;16;16;16;;;16;16
MultExpr;;;;17;17;;;;;;;;;;17;;;17;;;;;;;
MultExpr';;19;19;;;;;19;;;;;;19;19;18;18;;19;19;19;;;19;19
Term;;;;22;23;;;;;;;;;;21;;;20;;;;;;;
AddOp;;;;;;;;;;;;;;24;25;;;;;;;;;;
MultOp;;;;;;;;;;;;;;;;26;27;;;;;;;;
If;;;;;;;28;;;;;;;;;;;;;;;;;;
If-tail;30;29;29;30;;;30;;29;30;;30;30;;;;;;;;;;;;
Cond;;;;31;31;;;;;;;;;;31;;;31;;;;31;;;
OrCond;;;;;;;;33;;;33;;;;;;;;;;32;;33;;
AndCond;;;;34;34;;;;;;;;;;34;;;34;;;;34;;;
AndCond';;;;;;;;36;;;36;;;;;;;;;35;36;;36;;
EndCondition;;;;38;38;;;;;;;;;;38;;;38;;;;37;;;
SimpleCondition;;;;39;39;;;;;;;;;;39;;;39;;;;;;;
Comp;;;;;;;;;;;;;;;;;;;;;;;;40;41
While;;;;;;;;;;42;;;;;;;;;;;;;;;
Print;;;;;;;;;;;;43;;;;;;;;;;;;;
Read;;;;;;;;;;;;;44;;;;;;;;;;;;
